タイムスタンプ,あなたはArsenalを見始めてどの程度ですか？,観戦会に参加されたことはありますか？,ちなみにどの観戦会に参加されましたか？,また参加したいですか？,観戦会に参加された方に聞きます。観戦会の感想をお聞かせください。できれば良かった、悪かった両方を教えてください。,どのようにアーセナルの情報を集められていますか？,"お勧めのサイトやTwitterアカウントなどありますか？( 複数回答可, 複数回答の際はアカウントごとに"",""か""、""で区切ってください)",グーナー(アーセナルファン)の集まり(観戦会を除く)に参加したことがある,参加したことがある方に質問します。どのような集まりに参加されましたか？,このようなコミュニティや集まりがあれば参加したいなどご意見があればお願いします。,観戦会に参加されたことがない方に質問します。観戦会に参加しずらいと感じたことはありますか？,こうしてくれると参加しやすいなど、観戦会参加しにくいと感じたことがあればご記入ください,その他、何かコメントやご意見があればお願いします。,,これらのアカウントをお勧めする理由を教えてください。
2022/02/06 12:45:18,10年以上(!?),ある,"バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑)",参加したい,御苑は大声でちゃんと歌って騒ぎながら観れるのがいい、バッカスナイトは試合前の飲み会が楽しい（試合中は御苑よりやや控えめ）。勝てば嬉しさ100倍負けても悲しみ9割引き、初心者にわか大歓迎の会なのでグナならほぼ100パー楽しめます,"ニュースサイト, ブログ, Twitter, インスタ",さるさん、mygunnerさん、（１次情報にあたるならGuardian、Telegraph、有料だけどThe Athletic）,ある,ぐなふぃふぁ部他ゲーム、その他グナ飲み,初心者歓迎のフットサル,,,,,
2022/02/06 12:47:06,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
2022/02/06 12:50:39,10年以上(!?),ない,,,,"ニュースサイト, インスタ",,ない,,,,,,,
2022/02/06 12:56:11,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter",,ない,,,,,,,
2022/02/06 12:59:26,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
2022/02/06 13:02:15,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:04:22,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:05:07,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:07:29,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter",,ない,,,,,,,
2022/02/06 13:08:12,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:14:26,10年以上(!?),ない,,,,"ブログ, 掲示板, Twitter",,ない,,,,,,,
2022/02/06 13:18:49,10年以上(!?),ない,,,,"ニュースサイト, Twitter, インスタ",,ある,フットサル会,色々なグーナーの方と会ってみたいです！,,,,,
2022/02/06 13:19:42,10年以上(!?),ない,,,,"ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:22:13,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
2022/02/06 13:22:59,10年以上(!?),ある,"バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑), クマナイ(熊本)",参加したい,"勝利の喜びも、敗戦の悲しみも皆で分かち合う。オリジナルチャントも飛び交う楽しい現場です。
静かに戦術とかを考えながら観るには不向きかもしれません。",Twitter,さるさん、mygunnerさん、グナ島さん、せこさん,ある,バッカス新年会、笹旅報告会、グナ花見,こんな時代なので、オフラインのイベントもあると良いですね,,,,,
2022/02/06 13:23:44,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:24:21,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ある,アーセナルジャパン,関東だけでなく他県でも集まれるようなのがあれば良いと思います。,,,,,
2022/02/06 13:25:29,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:27:28,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",afcstaffさん,ない,,,,,,,
2022/02/06 13:33:10,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:36:00,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
2022/02/06 13:36:06,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:40:26,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:44:49,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:50:59,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ブログ, Twitter, インスタ, オープンチャット",猿さん,ない,,,,,,,
2022/02/06 13:51:17,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,老若男女関係なくアーセナルのことだけ語れる場(できれば都内)など予定が会えばいきたい。,,,,,
2022/02/06 13:51:18,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ブログ, 掲示板, Twitter, インスタ",,ない,,,,,,,
2022/02/06 13:52:19,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,Twitter,mygooner,ない,,,,,,,
2022/02/06 13:55:36,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ブログ, 掲示板, Twitter",,ない,,,,,,,
2022/02/06 13:56:06,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 13:59:43,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",珈琲によるアーセナル戦術分析ブログ,ない,,,,,,,
2022/02/06 14:01:01,10年以上(!?),ある,"蝦夷ナイト(北海道), バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑), The Armoury Night (愛知 名古屋), The Highbury (京都), ハイナイ (大阪), アワナイ(徳島), クマナイ(熊本), なんくるナイ、津ナイ",参加したい,Fantastic ,Twitter,,ある,バッカス,,,,,,
2022/02/06 14:01:30,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter",,ない,,,,,,,
2022/02/06 14:04:14,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, 掲示板, Twitter",,ない,,外部開放的（閉じたコミュニティではない）,,,,,
2022/02/06 14:04:49,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ブログ, Twitter",,ない,,,,,,,
2022/02/06 14:05:46,10年以上(!?),ない,,,,"Twitter, インスタ",,ない,,,,,,,
2022/02/06 14:09:16,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ある,フットサル,,,,,,
2022/02/06 14:09:28,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
